"pk_circuit_id";"circuit_name";"circuit_nation";"circuit_place";"circuit_country_iso";"circuit_country_name";"load_date"
"05dad63d-0746-4309-a4b4-2527f9cecf36";"Monza";"ITA";"Monza";"IT";"Italy";"16/9/2024 21:41"
"1ab286fc-eb24-4980-85a8-b7b940f46e13";"Autodromo Internazionale del Mugello";"ITA";"Mugello";"IT";"Italy";"17/9/2024 16:30"
"1bec7bcc-4e82-4dab-a21a-dc02029cda22";"Nurburgring";"GER";"Nurburgring";"DE";"Germany";"16/9/2024 21:41"
"1eedf3e4-d9ab-427e-977f-306d8ccc0f99";"Spa-Francorchamps";"BEL";"Spa";"BE";"Belgium";"16/9/2024 21:41"
"213eb1ff-9ae5-4aec-862f-44a10637f36d";"Mobility Resort Motegi";"JPN";"Motegi";"JP";"Japan";"19/9/2024 08:50"
"2218098d-ab2d-498b-a633-1a4a39119e9e";"Circuit de Barcelona-Catalunya";"SPA";"Barcelona";"ES";"Spain";"18/9/2024 21:32"
"2312f6e1-a391-4540-8824-d70b8cd5cabf";"Solitude";"GER";"Solitude";"DE";"Germany";"16/9/2024 22:03"
"33cc8011-c4b5-419a-81ff-b0140acfedd5";"Kyalami";"RSA";"Joannesburg";"ZA";"South Africa";"18/9/2024 07:54"
"3aa5bcb2-519e-44d7-b3da-bb8f89763a59";"Donington Park";"GBR";"Donington";"GB";"United Kingdom of Great Britain and Northern Ireland";"18/9/2024 16:26"
"3d40085a-cb5a-4a69-8595-f96c769e6c15";"Hedemora";"SWE";"Hedemora";"SE";"Sweden";"16/9/2024 21:41"
"473ee5fa-b4e5-4c00-a0fe-28051700e20d";"Silverstone Circuit";"GBR";"Silverstone";"GB";"United Kingdom of Great Britain and Northern Ireland";"17/9/2024 16:30"
"50209e25-6cd8-4d8d-912e-c48a06275a8a";"MotorLand Aragón";"SPA";"Alcañiz";"ES";"Spain";"19/9/2024 23:27"
"52739ea8-bf8f-477f-8ad9-7166ed6eaf30";"Tampere";"FIN";"Tampere";"FI";"Finland";"16/9/2024 22:03"
"53408041-6360-4860-8009-b799ca10e59c";"Daytona";"USA";"Daytona";"US";"United States of America";"16/9/2024 22:03"
"536d88a0-b7b9-4312-a5f1-f196e8228991";"Termas de Río Hondo";"ARG";"Termas de Río Hondo";"AR";"Argentina";"20/9/2024 09:39"
"551f87c7-1940-48b0-bce7-1ad8de7ce548";"Sachsenring";"GER";"Sachsenring";"DE";"Germany";"16/9/2024 22:03"
"570e8988-3fdc-4448-a8c6-b381ae8730fa";"Clermont-Ferrand";"FRA";"Clermont-Ferrand";"FR";"France";"16/9/2024 21:41"
"5b97d826-e527-43e9-b696-09f61cf4559c";"Circuit Of The Americas";"USA";"Austin";"US";"United States of America";"20/9/2024 09:39"
"5ff3aec4-4352-45ba-82ed-1bfdbdf8bc15";"San Carlos";"VEN";"San Carlos";"VE";"Venezuela (Bolivarian Republic of)";"17/9/2024 16:30"
"62cf7a47-b21e-4dd5-8901-fbfb04615619";"Isle of Man";"GBR";"Isle of Man";"GB";"United Kingdom of Great Britain and Northern Ireland";"16/9/2024 21:41"
"64179411-7382-4e6c-901f-808388dfee39";"Sentul";"INA";"Jakarta";"ID";"Indonesia";"19/9/2024 08:50"
"64d6fb8c-124f-47c5-8f48-4fe54c07b1b0";"Montjuïc";"SPA";"Barcelona";"ES";"Spain";"16/9/2024 21:41"
"664c40ff-8deb-4613-91cd-62c945f95e1e";"Circuit Ricardo Tormo";"SPA";"Cheste";"ES";"Spain";"19/9/2024 08:50"
"66e50713-edd4-4429-8c5c-573d7cabb9c6";"Hungaroring";"HUN";"Hungaroring";"HU";"Hungary";"18/9/2024 16:26"
"6ea50617-1b69-4b00-850c-a95ad1776e71";"Mazda Raceway";"USA";"Laguna Seca";"US";"United States of America";"18/9/2024 16:26"
"73b1ab9d-c48e-4693-b553-f27571b8995f";"Karlskoga";"SWE";"Karlskoga";"SE";"Sweden";"17/9/2024 16:30"
"763812ea-9435-4c1c-b61b-a0c14ccdfbe4";"Circuito de Jerez - Ángel Nieto";"SPA";"Jerez de la Frontera";"ES";"Spain";"18/9/2024 16:26"
"7a575fc7-3c80-49a2-8e5e-90f65a699057";"Phakisa Freeway";"RSA";"Welkom";"ZA";"South Africa";"19/9/2024 08:50"
"7afbea7d-97c1-4c75-be49-73a3054625bd";"Suzuka";"JPN";"Suzuka";"JP";"Japan";"18/9/2024 16:26"
"7cf41263-c38c-4942-ab09-9ac74339c3ec";"Shanghai Circuit";"CHN";"Shanghai";"CN";"China";"19/9/2024 19:15"
"7e464769-be25-4dfc-b836-bb35d7f52f0c";"Mosport";"CAN";"Mosport";"CA";"Canada";"17/9/2024 08:57"
"87692c07-fcd6-4331-822e-511dc651f40c";"Nelson Piquet";"BRA";"Rio de Janeiro";"BR";"Brazil";"18/9/2024 21:32"
"8a080d54-7fc9-4033-833b-f9c84b87108f";"Salzburgring";"AUT";"Salzburgring";"AT";"Austria";"17/9/2024 11:59"
"8dc64efd-25f8-41cf-aa4f-dfbfa41a762a";"Red Bull Ring - Spielberg";"AUT";"Spielberg";"AT";"Austria";"19/9/2024 08:50"
"8e60a2ef-0e86-4b9b-8811-d0b90a4f0e5a";"Nogaro";"FRA";"Nogaro";"FR";"France";"17/9/2024 16:30"
"8f36dd44-e059-4f26-b2b9-2a54105c914a";"Hockenheim";"GER";"Hockenheim";"DE";"Germany";"16/9/2024 21:41"
"912a9d7f-2864-4311-bebb-19851e9c2620";"Autódromo Internacional do Algarve";"POR";"Portimao";"PT";"Portugal";"20/9/2024 12:50"
"9450a597-8854-46a6-a6d1-514d4e224915";"Estoril Circuit";"POR";"Estoril";"PT";"Portugal";"19/9/2024 08:50"
"9ae160e2-4b50-4a78-8b2b-db3ddecb36a3";"Belfast";"IRL";"Belfast";"IE";"Ireland";"16/9/2024 21:41"
"9b212708-9bb8-4de1-abe0-9f669d88ba13";"Jarama";"SPA";"Madrid";"ES";"Spain";"17/9/2024 08:57"
"9d5f4ae2-f597-4f74-8171-9abd272912e8";"Rijeka";"JUG";"Rijeka";"YU";"Sin datos";"17/9/2024 16:30"
"9f1648b1-dd2f-4c12-b77d-da8471ec213a";"Imatra";"FIN";"Imatra";"FI";"Finland";"16/9/2024 22:03"
"a13e1e6b-6643-4d7b-9b41-f372158ab5f6";"Oscar A. Galvez";"ARG";"Buenos Aires";"AR";"Argentina";"16/9/2024 22:03"
"a1ec6331-c571-418c-92d7-768cf0c83872";"Pertamina Mandalika Circuit";"INA";"Lombok";"ID";"Indonesia";"20/9/2024 14:26"
"a8993a35-d28c-4d61-8fa9-58a42131826c";"Opatija";"JUG";"Opatija";"YU";"Sin datos";"17/9/2024 08:57"
"a8bd93f8-8e7e-4669-ae1c-1f3f5156b4e7";"Chang International Circuit";"THA";"Buriram";"TH";"Thailand";"20/9/2024 12:50"
"ab56759b-8c77-468a-8442-88d712344d30";"Buddh International Circuit";"IND";"Greater Noida";"IN";"India";"20/9/2024 14:26"
"b7b4282a-1020-4eb1-a818-26bc60571cd2";"Berne";"SWI";"Berne";"CH";"Switzerland";"16/9/2024 21:41"
"b8664e71-95a8-4c71-b093-96a23fa839df";"Automotodrom Brno";"CZE";"Brno";"CZ";"Czechia";"17/9/2024 08:57"
